,bus,carrier,p_nom,build_year,lifetime,capital_cost,marginal_cost,efficiency,max_hours,country
FR0 0 CCGT,FR0 0,CCGT,5348.2,0,inf,104788.02078332387,48.35941203345979,0.567186563043751,0.0,FR
FR0 0 PHS,FR0 0,PHS,808.0,0,inf,182698.73459185107,0.0,0.75,5.573019801980198,FR
FR0 0 biomass,FR0 0,biomass,477.6839,0,inf,294201.05117025424,15.828205128205129,0.468,0.0,FR
FR0 0 coal,FR0 0,coal,1161.6405652695996,0,inf,337208.02744802914,32.21332121212121,0.33,0.0,FR
FR0 0 hydro,FR0 0,hydro,1365.0509554140122,0,inf,182698.7345918511,0.0,0.9,0.0,FR
FR0 0 not found,FR0 0,not found,80.0,0,inf,0.0,0.0,0.0,0.0,FR
FR0 0 nuclear,FR0 0,nuclear,42600.0,0,inf,753784.2152972104,14.013271165644174,0.326,0.0,FR
FR0 0 oil,FR0 0,oil,624.0,0,inf,40086.59453558499,157.52387142857143,0.35,0.0,FR
FR0 0 ror,FR0 0,ror,1033.1699999999998,0,inf,308170.37190345523,0.0,0.9,0.0,FR
FR0 1 CCGT,FR0 1,CCGT,3796.0,0,inf,104788.02078332388,47.237988028768775,0.5741807165437303,0.0,FR
FR0 1 PHS,FR0 1,PHS,4428.3,0,inf,182698.73459185107,0.0,0.75,17.610178516225115,FR
FR0 1 biomass,FR0 1,biomass,292.64155000000005,0,inf,294201.0511702542,15.828205128205127,0.46799999999999997,0.0,FR
FR0 1 hydro,FR0 1,hydro,7208.442038216559,0,inf,182698.73459185107,0.0,0.9,303.63061148872436,FR
FR0 1 lignite,FR0 1,lignite,977.0,0,inf,337208.02744802914,13.256654545454547,0.33,0.0,FR
FR0 1 nuclear,FR0 1,nuclear,15110.0,0,inf,753784.2152972104,14.013271165644174,0.326,0.0,FR
FR0 1 ror,FR0 1,ror,5837.479149421663,0,inf,308170.3719034552,0.0,0.9000000000000001,0.0,FR
